,Unnamed: 0, Rank,Sales,Profits,Assets,Market Value
149,,150,26.1,4.6,578.5,26.8
150,,151,18.6,3.5,1607.7,36.5
151,,152,49.9,3.8,47.8,78.3
152,,153,29.3,3.9,66.0,76.2
153,,154,22.7,2.7,132.8,57.6
154,,155,85.2,2.5,65.1,44.0
155,,156,27.1,3.8,99.1,45.4
156,,157,15.1,4.2,649.6,45.4
157,,158,100.5,3.4,51.7,39.9
158,,159,60.5,3.4,40.4,91.3
159,,160,63.2,2.3,69.1,45.1
160,,161,26.5,3.4,82.3,54.1
161,,162,42.6,2.8,72.9,43.6
162,,163,15.6,3.5,333.5,48.8
163,,164,56.7,3.8,107.7,24.6
164,,165,95.4,1.9,108.6,29.6
165,,166,73.7,1.1,126.2,59.5
166,,167,93.2,2.1,109.3,26.5
167,,168,33.7,3.1,119.5,30.5
168,,169,37.1,2.5,71.5,47.6
169,,170,23.8,4.9,52.4,83.2
170,,171,48.8,3.2,76.7,30.4
171,,172,19.9,6.3,49.1,123.8
172,,173,16.0,6.0,63.4,206.4
173,,174,40.3,1.8,144.0,33.5
174,,175,64.7,0.8,905.2,57.2
175,,176,23.0,3.7,62.5,75.2
176,,177,19.3,14.2,45.9,138.8
177,,178,24.4,4.0,46.7,119.7
178,,179,121.2,2.4,35.6,74.9
179,,180,27.7,3.0,101.7,33.6
180,,181,26.7,6.9,36.9,176.2
181,,182,19.9,4.2,56.8,86.8
182,,183,39.6,4.4,58.9,33.0
183,,184,19.9,2.5,109.7,49.3
184,,185,65.0,3.1,34.4,71.1
185,,186,21.9,2.9,81.7,48.0
186,,187,105.5,1.7,571.2,18.2
187,,188,196.5,2.0,57.9,30.5
188,,189,43.7,2.0,68.3,42.7
189,,190,48.7,2.6,63.4,32.4
190,,191,55.7,1.7,438.8,19.9
191,,192,28.1,3.1,49.2,57.5
192,,193,14.6,3.6,393.7,34.5
193,,194,57.6,1.9,46.8,52.3
194,,195,37.6,1.2,73.0,99.8
195,,196,63.4,2.9,40.6,41.0
196,,197,30.1,5.1,32.9,113.5
197,,198,28.6,3.4,37.6,107.5
198,,199,22.7,2.7,129.8,29.2
199,,200,36.3,1.9,110.4,29.6
200,,201,85.8,1.8,82.7,25.6
201,,202,24.9,1.6,159.8,35.4
202,,203,31.7,3.1,54.0,38.5
203,,204,15.2,2.9,90.0,60.4
204,,205,11.2,3.2,220.2,62.6
205,,206,44.9,3.1,39.4,42.7
206,,207,47.8,2.0,178.3,19.2
207,,208,74.3,0.949,511.1,25.9
208,,209,39.7,1.9,60.3,39.0
209,,210,71.2,1.5,51.7,39.9
210,,211,75.7,2.3,46.8,29.4
211,,212,26.1,1.6,64.0,69.3
212,,213,25.9,1.6,61.5,67.4
213,,214,64.6,2.1,129.7,17.5
214,,215,24.6,4.7,31.0,106.4
215,,216,56.8,1.8,75.1,25.1
216,,217,26.5,2.3,66.1,34.2
217,,218,44.0,2.4,72.0,22.4
218,,219,19.7,3.9,40.7,66.4
219,,220,24.6,2.5,40.0,69.2
220,,221,21.2,2.7,38.8,94.1
221,,222,66.6,1.9,52.7,26.2
222,,223,13.4,5.0,80.1,43.6
223,,224,122.8,2.0,110.1,15.5
224,,225,27.3,1.8,68.5,35.4
225,,226,11.7,3.4,197.6,37.7
226,,227,69.5,2.7,37.4,29.4
227,,228,32.2,1.8,49.0,43.9
228,,229,19.9,2.6,45.3,59.7
229,,230,11.7,2.9,494.2,31.9
230,,231,31.4,3.0,32.9,57.0
231,,232,12.5,6.1,51.1,90.6
232,,233,41.1,2.2,43.6,33.6
233,,234,19.4,4.5,33.7,88.0
234,,235,34.2,1.7,48.7,42.6
235,,236,33.8,2.0,39.7,49.9
236,,237,32.2,1.1,114.9,33.3
237,,238,29.0,1.5,252.2,19.8
238,,239,19.9,1.9,188.7,21.9
239,,240,38.4,1.9,68.4,23.8
240,,241,115.3,1.9,37.5,27.3
241,,242,20.9,1.4,55.0,75.7
242,,243,41.5,2.9,33.8,32.6
243,,244,43.7,0.667,493.3,36.5
244,,245,10.3,3.1,333.5,34.4
245,,246,19.9,2.2,57.7,37.2
246,,247,40.2,2.7,51.3,21.1
247,,248,11.3,2.4,221.2,35.6
248,,249,33.8,4.1,23.2,91.2
249,,250,27.3,1.9,44.1,41.9
250,,251,18.3,2.0,45.9,59.9
251,,252,24.3,1.9,46.4,42.0
252,,253,24.1,1.8,219.1,18.2
253,,254,20.1,2.0,46.5,45.0
254,,255,15.9,3.0,340.9,17.6
255,,256,22.8,2.4,95.5,19.8
256,,257,13.4,2.7,306.3,21.5
257,,258,11.4,2.0,110.3,57.4
258,,259,11.3,2.7,290.3,27.6
259,,260,26.7,1.5,56.3,34.8
